,feature,rank
0,Unnamed: 0,1.0
1,FlowID,1.0
2,SourceIP,1.0
3,SourcePort,1.0
4,DestinationIP,1.0
5,DestinationPort,1.0
6,Protocol,1.0
7,FlowDuration,1.0
8,TotalFwdPackets,1.0
9,TotalBackwardPackets,1.0
10,TotalLengthofFwdPackets,1.0
11,TotalLengthofBwdPackets,1.0
12,FwdPacketLengthMax,1.0
13,FwdPacketLengthMin,1.0
14,FwdPacketLengthMean,1.0
15,FwdPacketLengthStd,1.0
16,BwdPacketLengthMax,1.0
17,BwdPacketLengthMin,1.0
18,BwdPacketLengthMean,1.0
19,BwdPacketLengthStd,0.9
20,FlowBytes/s,1.0
21,FlowPackets/s,1.0
22,FlowIATMean,1.0
23,FlowIATStd,1.0
24,FlowIATMax,1.0
25,FlowIATMin,1.0
26,FwdIATTotal,1.0
27,FwdIATMean,1.0
28,FwdIATStd,1.0
29,FwdIATMax,1.0
30,FwdIATMin,1.0
31,BwdIATTotal,1.0
32,BwdIATMean,1.0
33,BwdIATStd,0.9
34,BwdIATMax,1.0
35,BwdIATMin,1.0
36,FwdPSHFlags,1.0
37,BwdPSHFlags,0.0
38,FwdURGFlags,0.0
39,BwdURGFlags,0.1
40,FwdHeaderLength,1.0
41,BwdHeaderLength,1.0
42,FwdPackets/s,1.0
43,BwdPackets/s,1.0
44,MinPacketLength,1.0
45,MaxPacketLength,1.0
46,PacketLengthMean,1.0
47,PacketLengthStd,1.0
48,PacketLengthVariance,1.0
49,FINFlagCount,0.0
50,SYNFlagCount,0.0
51,RSTFlagCount,0.7
52,PSHFlagCount,0.0
53,ACKFlagCount,0.8
54,URGFlagCount,1.0
55,CWEFlagCount,0.8
56,ECEFlagCount,0.0
57,Down/UpRatio,1.0
58,AveragePacketSize,1.0
59,AvgFwdSegmentSize,1.0
60,AvgBwdSegmentSize,1.0
61,FwdHeaderLength.1,1.0
62,FwdAvgBytes/Bulk,0.0
63,FwdAvgPackets/Bulk,0.2
64,FwdAvgBulkRate,0.0
65,BwdAvgBytes/Bulk,0.0
66,BwdAvgPackets/Bulk,0.0
67,BwdAvgBulkRate,0.0
68,SubflowFwdPackets,1.0
69,SubflowFwdBytes,1.0
70,SubflowBwdPackets,1.0
71,SubflowBwdBytes,1.0
72,Init_Win_bytes_forward,1.0
73,Init_Win_bytes_backward,1.0
74,act_data_pkt_fwd,1.0
75,min_seg_size_forward,1.0
76,ActiveMean,0.8
77,ActiveStd,0.1
78,ActiveMax,0.1
79,ActiveMin,0.2
80,IdleMean,0.5
81,IdleStd,0.1
82,IdleMax,0.6
83,IdleMin,0.6
84,SimillarHTTP,0.0
85,Inbound,1.0
86,Label,0.0
